City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
305,sinop,41.7711,34.8709,73.83,41,0,8.48,TR,1689600587
306,gaiman,-43.2897,-65.4929,33.04,48,0,7.14,AR,1689600588
307,kone,-21.0595,164.8658,65.32,82,67,5.35,NC,1689600187
308,inarajan village,13.2736,144.7484,83.37,91,100,13.71,GU,1689600589
309,amga,60.8953,131.9608,53.67,81,94,4.29,RU,1689600106
310,dampit,-8.2116,112.7493,68.58,94,82,5.03,ID,1689600590
311,san antonio de pale,-1.4014,5.6325,74.08,81,100,10.42,GQ,1689600163
312,mineiros,-17.5694,-52.5511,78.76,36,0,2.95,BR,1689600591
313,nombre de dios,23.85,-104.2333,62.15,44,51,4.97,MX,1689600592
314,imbituba,-28.24,-48.6703,61.86,84,100,5.99,BR,1689600592
315,sarkikaraagac,38.0794,31.3664,81.93,24,0,11.63,TR,1689600593
316,hatillo,18.4863,-66.8254,86.99,90,57,5.01,PR,1689600593
317,tangalle,6.024,80.7911,86.16,84,99,14.03,LK,1689600594
318,shimanovsk,52.0,127.7,70.34,50,58,3.96,RU,1689600594
319,puerto aysen,-45.4,-72.7,26.64,86,0,0.0,CL,1689600595
320,itoman,26.1247,127.6694,84.22,89,40,20.71,JP,1689600596
321,namibe,-15.1961,12.1522,75.83,78,0,11.5,AO,1689600337
322,diu,20.7141,70.9822,84.58,75,60,16.24,IN,1689600301
323,vila velha,-20.3297,-40.2925,80.55,70,0,6.91,BR,1689600549
324,vila franca do campo,37.7167,-25.4333,70.21,70,73,3.04,PT,1689600598
325,qamdo,31.1667,97.2333,47.16,72,100,4.41,CN,1689600599
326,villaflores,41.084,-5.2344,87.71,12,0,2.57,ES,1689600599
327,levuka,50.1834,-105.4011,49.82,93,100,5.75,CA,1689600600
328,falmouth,50.1544,-5.0711,66.65,75,40,14.97,GB,1689600600
329,mogadishu,2.0371,45.3438,82.27,78,20,14.97,SO,1689600552
330,puerto baquerizo moreno,-0.9,-89.6,76.39,84,25,11.21,EC,1689600156
331,nemuro,43.3236,145.575,57.88,95,100,6.91,JP,1689600123
332,sombrio,-29.1139,-49.6167,54.93,73,68,7.56,BR,1689600603
333,kamaishi,39.2667,141.8833,75.16,89,38,6.2,JP,1689600605
334,ad dilam,23.9915,47.1627,115.21,4,48,4.18,SA,1689600606
